Q16513,PKN2
P43489,TNFRSF4
F8VU68,PIP4K2C
P16383,GCFC2
Q9C035-4,TRIM5
E9PSF2,STIL
Q9UMS4,PRPF19
Q92973,TNPO1
Q9Y689,ARL5A
C9JRM9,ZKSCAN1
A2RRP1,NBAS
A0A0B4J1V8,PPAN-P2RY11
Q5T1W1,DDX59
P09525,ANXA4
Q8TB72,PUM2
Q969Q6,PPP2R3C
K7ELE9,DCAF15
Q96RT8,TUBGCP5
Q15276,RABEP1
E7EWP2,TRIO
M0QX76,RPS16
Q99595,TIMM17A
A0A0C4DG02,DNMT3A
O75663,TIPRL
E5RHF2,COPS5
F5H6T4,ITGB7
Q9BUT9-2,FAM195A; MCRIP2
Q6IQ26,DENND5A
Q03111,MLLT1
D6RA67,UFSP2
Q92673,SORL1
P62906,RPL10A
Q9P2D3,HEATR5B
Q9BW60,ELOVL1
H7C3Q6,MITD1
P12931,SRC
E9PDE8,HSPA4L
P09601,HMOX1
A0A087X1I3,SDHA
H0Y6F5,ZHX3
Q9NYU1,UGGT2
Q96P11,NSUN5
Q99075,HBEGF
P50616,TOB1
Q14137,BOP1
Q9GZR1,SENP6
Q8N4H5,TOMM5
Q9BRQ8,AIFM2
Q8WU67,ABHD3
Q9BSC4,NOL10
O95379,TNFAIP8
Q7Z6A9,BTLA
Q96MT1,RNF145
Q9Y6J0,CABIN1
A0A0C4DG33,PEX1
Q9NSP4,CENPM
Q96L73,NSD1
Q92575,UBXN4
Q5JTH9,RRP12
A2A305,UBAP2
P17098,ZNF8
Q9NX24,NHP2
Q8TAE8,GADD45GIP1
Q9P287,BCCIP
C9J5X9,FANCB
M0QYY8,DAPK3
P42680,TEC
Q01518,CAP1
Q8TAP9,MPLKIP
Q9NZ08,ERAP1
Q3KNW5,SLC10A6
P56556,NDUFA6
P42766,RPL35
Q9Y244,POMP
B4E127,TDG
K7ELB8,PLEKHF1
P54819,AK2
G5E9C2,NFKBIB
Q96EY7,PTCD3
P51587,BRCA2
Q13098,GPS1
C9JZJ1,STK17B
V9GYM8,ARHGEF2
Q9Y2L9-2,LRCH1
Q13099,IFT88
Q0VDF9,HSPA14
Q5T6J7,IDNK
Q9Y573,IPP
Q9BVK6,TMED9
A0A0C4DGS9,CEPT1
O95456,PSMG1
Q15691,MAPRE1
P04839,CYBB
Q9BWT3,PAPOLG
Q9H3E2,SNX25
H7C1J4,UHRF1BP1
Q8NB78,KDM1B
H0Y9Y0,FBXL5
Q9BSF4,C19orf52; TIMM29
Q96JQ0,DCHS1
P17858,PFKL
Q16739,UGCG
Q13200,PSMD2
A0A075B7D0,IGHV1OR15-1
A0A0C4DFX2,FRY
Q2T9J0,TYSND1
Q8TCJ0-3,FBXO25
P25786,PSMA1
P15291,B4GALT1
Q6Q0C0,TRAF7
Q92968,PEX13
E9PC69,MARK2
K7EKL8,ICAM1
O75534,CSDE1
